"transaction_amount","aux_mdr_fee","mdr_fee","gateway_fee","transaction_id","payment_method","installments_range","financial_operation_type","created_at","date","day_of_week","company_id","company_mcc","company_type","product_name","acquirer_name"
23250,111,111,20.0,d4c8ccc920,credit_card,"2-6",capture,14:58:28,2020-09-09,3.0,"9b0609add3fd7f1","5999",outbound,psp,pagarme
5664,0,0,-70.0,d582e47628,credit_card,a vista,refund,16:02:27,2020-09-09,3.0,"145e0cf06536e75","5499",self_register,psp,pagarme
5664,0,0,-70.0,d582e47628,credit_card,a vista,refund,16:02:27,2020-09-09,3.0,"145e0cf06536e75","5499",self_register,psp,acquirer_3
5664,-178,0,70.0,d582e47628,credit_card,a vista,capture,14:51:32,2020-09-09,3.0,"145e0cf06536e75","5499",self_register,psp,acquirer_3
5664,-178,0,70.0,d582e47628,credit_card,a vista,capture,14:51:30,2020-09-09,3.0,"145e0cf06536e75","5499",self_register,psp,pagarme
54533,1909,1909,50.0,d634c39d85,credit_card,a vista,capture,14:58:39,2020-09-09,3.0,"6d8a8ede1b9118c","5094",outbound,psp,pagarme
54533,1909,1909,50.0,d634c39d85,credit_card,a vista,capture,14:58:41,2020-09-09,3.0,"6d8a8ede1b9118c","5094",outbound,psp,acquirer_3
22600,0,0,-0.0,d695aae2f5,credit_card,a vista,refund,14:54:15,2020-09-09,3.0,d19e7f6bea6d0f3,"8299",outbound,gateway,pagarme
22600,0,0,-0.0,d695aae2f5,credit_card,a vista,refund,14:54:15,2020-09-09,3.0,d19e7f6bea6d0f3,"8299",outbound,gateway,acquirer_3
7145,107,107,55.0,da30c4197f,credit_card,"2-6",capture,14:58:07,2020-09-09,3.0,d122599d9246dfd,"5533",outbound,psp,acquirer_3
7145,107,107,55.0,da30c4197f,credit_card,"2-6",capture,14:58:07,2020-09-09,3.0,d122599d9246dfd,"5533",outbound,psp,pagarme
6900,72,72,0.0,da52959cac,credit_card,a vista,capture,14:59:43,2020-09-09,3.0,da83a78d27ace3c,"8220",outbound,psp,acquirer_3
6900,72,72,0.0,da52959cac,credit_card,a vista,capture,14:59:43,2020-09-09,3.0,da83a78d27ace3c,"8220",outbound,psp,pagarme
548600,6565,6565,40.0,db360d56d8,credit_card,"2-6",capture,14:56:14,2020-09-09,3.0,"1a7eb4fbc69cbe5","5013",inbound,psp,pagarme
548600,6565,6565,40.0,db360d56d8,credit_card,"2-6",capture,14:56:15,2020-09-09,3.0,"1a7eb4fbc69cbe5","5013",inbound,psp,acquirer_3
2500,-45,0,0.0,db8ced752a,credit_card,a vista,capture,14:59:13,2020-09-09,3.0,c073c11c93a896b,"8398",outbound,psp,pagarme
2500,0,0,-0.0,db8ced752a,credit_card,a vista,refund,15:05:11,2020-09-09,3.0,c073c11c93a896b,"8398",outbound,psp,acquirer_3
2500,-45,0,0.0,db8ced752a,credit_card,a vista,capture,14:59:13,2020-09-09,3.0,c073c11c93a896b,"8398",outbound,psp,acquirer_3
2500,0,0,-0.0,db8ced752a,credit_card,a vista,refund,15:05:10,2020-09-09,3.0,c073c11c93a896b,"8398",outbound,psp,pagarme
360000,1008,1008,30.0,dcc417423b,credit_card,"7-12",capture,14:55:57,2020-09-09,3.0,"44177410ae6617d","5045",outbound,psp,pagarme
360000,1008,1008,30.0,dcc417423b,credit_card,"7-12",capture,14:55:59,2020-09-09,3.0,"44177410ae6617d","5045",outbound,psp,acquirer_3
4999,0,0,-0.0,debd5402ab,credit_card,a vista,refund,18:47:00,2020-09-11,5.0,"68f8352768ec0ab","7372",outbound,gateway,acquirer_2
4999,,0,0.0,debd5402ab,credit_card,a vista,capture,16:26:38,2020-09-09,3.0,"68f8352768ec0ab","7372",outbound,gateway,acquirer_2
25330,530,530,120.0,df90e2b9b7,credit_card,"2-6",capture,14:59:52,2020-09-09,3.0,"8b04df2baa17fd3","5137",outbound,psp,pagarme
25330,530,530,120.0,df90e2b9b7,credit_card,"2-6",capture,14:59:54,2020-09-09,3.0,"8b04df2baa17fd3","5137",outbound,psp,acquirer_3
5000,90,90,0.0,dff59ceb04,credit_card,a vista,capture,14:59:49,2020-09-09,3.0,c073c11c93a896b,"8398",outbound,psp,acquirer_3
5000,90,90,0.0,dff59ceb04,credit_card,a vista,capture,14:59:48,2020-09-09,3.0,c073c11c93a896b,"8398",outbound,psp,pagarme
18718,327,327,50.0,e0aec60d89,credit_card,"2-6",capture,14:57:12,2020-09-09,3.0,"094dd0ba5dcf146","8999",self_register,psp,acquirer_3
18718,327,327,50.0,e0aec60d89,credit_card,"2-6",capture,14:57:11,2020-09-09,3.0,"094dd0ba5dcf146","8999",self_register,psp,pagarme
19232,121,121,10.0,e0dc798ba7,credit_card,"2-6",capture,14:56:19,2020-09-09,3.0,"66e1ab77e18b7ac","5976",inbound,psp,acquirer_3
19232,121,121,10.0,e0dc798ba7,credit_card,"2-6",capture,14:56:18,2020-09-09,3.0,"66e1ab77e18b7ac","5976",inbound,psp,pagarme
4990,84,84,0.0,e156fa8b12,credit_card,a vista,capture,14:58:51,2020-09-09,3.0,d19e7f6bea6d0f3,"8299",outbound,psp,acquirer_3
4990,84,84,0.0,e156fa8b12,credit_card,a vista,capture,14:58:51,2020-09-09,3.0,d19e7f6bea6d0f3,"8299",outbound,psp,pagarme
2500,45,45,0.0,e1b0bae233,credit_card,a vista,capture,14:55:43,2020-09-09,3.0,c073c11c93a896b,"8398",outbound,psp,acquirer_3
2500,45,45,0.0,e1b0bae233,credit_card,a vista,capture,14:55:42,2020-09-09,3.0,c073c11c93a896b,"8398",outbound,psp,pagarme
41690,200,200,35.0,e1fd3bb6cb,credit_card,"2-6",capture,14:58:16,2020-09-09,3.0,e8ac5df92abbcf8,"5977",inbound,psp,acquirer_3
41690,200,200,35.0,e1fd3bb6cb,credit_card,"2-6",capture,14:58:15,2020-09-09,3.0,e8ac5df92abbcf8,"5977",inbound,psp,pagarme
7920,101,101,0.0,e248abe6c4,credit_card,"2-6",capture,14:57:25,2020-09-09,3.0,"10c33d344710b96","8999",outbound,psp,pagarme
7920,101,101,0.0,e248abe6c4,credit_card,"2-6",capture,14:57:25,2020-09-09,3.0,"10c33d344710b96","8999",outbound,psp,acquirer_3
4080,71,71,50.0,e2720ccacc,credit_card,"2-6",capture,14:56:30,2020-09-09,3.0,"52c8a05a7b5c22c","5999",inbound,psp,pagarme
4080,71,71,50.0,e2720ccacc,credit_card,"2-6",capture,14:56:30,2020-09-09,3.0,"52c8a05a7b5c22c","5999",inbound,psp,acquirer_3
10001,144,144,80.0,e3316044c2,credit_card,"2-6",capture,16:00:02,2020-09-09,3.0,d85805aec65c1b7,"5943",outbound,psp,pagarme
